Data,Positivi Nonantola (*),Positivi provincia di Modena (**),Positivi Emilia-Romagna (**),Positivi Italia (***), , 
14/1/2021,7,311,1515,17246,,
15/1/2021,15,421,1794,16146,,
16/1/2021,12,296,1674,16310,,
17/1/2021,5,240,1437,12545,,
18/1/2021,5,260,1153,8824,,
19/1/2021,5,150,1034,10497,,
20/1/2021,1,97,1090,13571,,
21/1/2021,8,216,1320,14078,,
22/1/2021,6,275,1374,13633,,
23/1/2021,6,192,1794,13331,,
24/1/2021,,175,1208,11629,,
25/1/2021,10,200,1164,8561,,
26/1/2021,6,121,933,10593,,
27/1/2021,,55,923,15204,,
28/1/2021,,43,1265,14372,,
29/1/2021,8,233,1320,13574,,
30/1/2021,3,186,1314,12715,,
31/1/2021,3,231,1277,11252,,
1/2/2021,14,176,1051,7925,,
2/2/2021,6,166,879,9660,,
3/2/2021,1,75,1047,13189,,
4/2/2021,12,202,1192,13659,,
5/2/2021,14,261,1364,14218,,
6/2/2021,11,181,1383,13442,,
7/2/2021,6,249,1382,11641,,
8/2/2021,10,265,1273,7970,,
9/2/2021,12,151,977,10630,,
10/2/2021,1,65,930,12956,,
11/2/2021,2,220,1345,15146,,
12/2/2021,8,282,1538,13908,,
13/2/2021,16,236,1488,13532,,
14/2/2021,15,229,1324,11068,,
15/2/2021,21,291,1391,7351,,
16/2/2021,12,194,968,10386,,
17/2/2021,3,62,1025,12074,,
18/2/2021,11,233,1565,13762,,
19/2/2021,20,326,1821,15479,,
20/2/2021,11,261,1724,14931,,
21/2/2021,8,295,1852,13452,,
22/2/2021,23,331,1874,9630,,
23/2/2021,23,327,1588,13314,,
24/2/2021,1,94,1427,16424,,
25/2/2021,14,379,2092,19886,,
26/2/2021,25,515,2575,20499,,
27/2/2021,12,497,2542,18916,,
28/2/2021,19,402,2610,17455,,
1/3/2021,11,533,2597,13144,,
2/3/2021,15,310,2040,17083,,
3/3/2021,4,224,2456,20884,,
4/3/2021,11,442,2545,22865,,
5/3/2021,20,701,3246,24036,,
6/3/2021,14,610,3232,23641,,
7/3/2021,12,460,3056,20765,,
8/3/2021,16,530,2987,13902,,
9/3/2021,8,414,2429,19749,,
10/3/2021,0,104,2155,22882,,
11/3/2021,6,389,2845,25673,,
12/3/2021,8,514,3477,26824,,
13/3/2021,15,509,2950,26062,,
14/3/2021,3,450,3023,21315,,
15/3/2021,7,575,2822,15267,,
16/3/2021,10,419,2184,20396,,
17/3/2021,1,210,2026,23059,,
18/3/2021,10,373,2531,24935,,
19/3/2021,5,533,3188,25735,,
20/3/2021,6,440,2560,23832,,
21/3/2021,2,368,2448,20159,,
22/3/2021,7,310,2118,13846,,
23/3/2021,6,296,1578,18765,,
24/3/2021,1,165,1725,21267,,
25/3/2021,4,309,2070,23696,,
26/3/2021,7,411,2391,23987,,
27/3/2021,3,405,2269,23839,,
28/3/2021,8,266,2137,19611,,
29/3/2021,3,312,2011,12916,,
30/3/2021,4,76,1187,16017,,
31/3/2021,0,108,1490,23904,,
1/4/2021,1,254,1809,23649,,
2/4/2021,5,343,1830,21932,,
3/4/2021,8,274,1789,21261,,
4/4/2021,7,302,1700,18025,,
5/4/2021,9,288,1493,10680,,
6/4/2021,1,179,791,7767,,
7/4/2021,0,60,576,13708,,
8/4/2021,2,80,1075,17221,,
9/4/2021,5,297,1488,18938,,
10/4/2021,4,279,1525,17567,,
11/4/2021,6,171,1170,15746,,
12/4/2021,5,213,1151,9789,,
13/4/2021,0,150,785,13447,,
14/4/2021,2,72,859,16168,,
15/4/2021,2,184,1150,16947,,
16/4/2021,0,213,1275,15943,,
17/4/2021,2,204,1076,15370,,
18/4/2021,1,185,1104,12694,,
19/4/2021,0,161,877,8864,,
20/4/2021,1,135,740,12047,,
21/4/2021,0,83,760,13844,,
22/4/2021,1,179,1010,16232,,
23/4/2021,4,187,1104,14761,,
24/4/2021,1,160,984,13817,,
25/4/2021,3,157,1001,13158,,
26/4/2021,2,161,936,8444,,
27/4/2021,2,118,723,10404,,
28/4/2021,2,53,642,13385,,
29/4/2021,5,153,979,14320,,
30/4/2021,1,193,1206,13446,,
1/5/2021,5,205,941,12965,,
2/5/2021,2,134,950,9148,,
3/5/2021,0,108,641,5948,,
4/5/2021,2,51,488,9116,,
5/5/2021,0,39,561,10585,,
6/5/2021,6,183,824,11807,,
7/5/2021,5,174,871,10544,,
8/5/2021,2,113,875,10186,,
9/5/2021,1,98,650,8292,,
10/5/2021,5,94,471,5080,,
11/5/2021,4,69,465,6946,,
12/5/2021,0,28,509,7852,,
13/5/2021,3,119,618,8085,,
14/5/2021,3,106,551,7567,,
15/5/2021,3,85,530,6659,,
16/5/2021,2,88,452,5753,,
17/5/2021,1,89,342,3455,,
18/5/2021,0,55,331,4452,,
19/5/2021,0,23,328,5506,,
20/5/2021,0,108,464,5741,,
21/5/2021,1,66,412,5218,,
22/5/2021,2,66,340,4717,,
23/5/2021,0,18,299,3995,,
24/5/2021,0,62,315,2490,,
25/5/2021,0,26,161,3224,,
26/5/2021,0,22,224,3937,,
27/5/2021,0,48,263,4147,,
28/5/2021,0,37,258,3738,,
29/5/2021,0,47,224,3351,,
30/5/2021,0,28,190,2949,,
31/5/2021,0,38,188,1820,,
1/6/2021,0,9,107,2483,,
(*) Fonte La Pressa,,,,,,
(**) Fonte salute.regione.emilia-romagna.it,,,,,,
"(***) Fonte Corriere, Repubblica, Messaggero, tg24 Sky",,,,,,
,,,,,,
, ,, ,,,